project,campaignid,sample,latitude,longitude,date,time,location,status,site,depth,observer,successful.count,successful.length,comment,fishnclips
Pilbara Marine Conservation Partnership,2014-10_Montebello.sanctuaries_stereoBRUVs,NCB547,-20.42313167,115.4844617,20141029,13:23:00,NW.Montebello,Fished,7,11.9,Todd,Yes,Yes,NA,Yes
Pilbara Marine Conservation Partnership,2014-10_Montebello.sanctuaries_stereoBRUVs,NCB548,-20.42086667,115.4866733,20141029,13:29:00,NW.Montebello,Fished,7,9.7,Todd,Yes,Yes,NA,Yes
Pilbara Marine Conservation Partnership,2014-10_Montebello.sanctuaries_stereoBRUVs,NCB549,-20.41598833,115.49133,20141029,13:33:00,NW.Montebello,Fished,7,8.6,Katrina,Yes,Yes,NA,Yes
Pilbara Marine Conservation Partnership,2014-10_Montebello.sanctuaries_stereoBRUVs,NCB550,-20.40909333,115.4897267,20141029,13:39:00,NW.Montebello,Fished,7,10.2,Todd,Yes,Yes,NA,Yes
Pilbara Marine Conservation Partnership,2014-10_Montebello.sanctuaries_stereoBRUVs,NCB551,-20.404815,115.4870917,20141029,15:05:00,NW.Montebello,Fished,8,9,Matt,Yes,Yes,NA,Yes
Pilbara Marine Conservation Partnership,2014-10_Montebello.sanctuaries_stereoBRUVs,NCB552,-20.40097833,115.491675,20141029,15:07:00,NW.Montebello,Fished,8,9.1,Katrina,Yes,Yes,NA,No
Pilbara Marine Conservation Partnership,2014-10_Montebello.sanctuaries_stereoBRUVs,NCB553,-20.39478667,115.491335,20141029,15:11:00,NW.Montebello,Fished,8,10.7,Todd,Yes,Yes,NA,Yes
Pilbara Marine Conservation Partnership,2014-10_Montebello.sanctuaries_stereoBRUVs,NCB554,-20.38344,115.4920867,20141029,15:28:00,NW.Montebello,Fished,8,12.3,Emma,Yes,Yes,NA,Yes
Pilbara Marine Conservation Partnership,2014-10_Montebello.sanctuaries_stereoBRUVs,NCB555,-20.37749833,115.4973267,20141029,15:32:00,NW.Montebello,Fished,8,9.5,Emma,Yes,Yes,NA,Yes
Pilbara Marine Conservation Partnership,2014-10_Montebello.sanctuaries_stereoBRUVs,NCB556,-20.37015941,115.4968709,20141029,15:41:00,N.Montebello.Sanctuary,No-take,9,12.6,Emma,Yes,Yes,NA,Yes
Pilbara Marine Conservation Partnership,2014-10_Montebello.sanctuaries_stereoBRUVs,NCB557,-20.36579667,115.498375,20141029,15:44:00,N.Montebello.Sanctuary,No-take,9,8.3,Emma,Yes,Yes,NA,Yes
Pilbara Marine Conservation Partnership,2014-10_Montebello.sanctuaries_stereoBRUVs,NCB558,-20.36098333,115.5019183,20141029,15:47:00,N.Montebello.Sanctuary,No-take,9,11.5,Katrina,Yes,Yes,NA,Yes
Pilbara Marine Conservation Partnership,2014-10_Montebello.sanctuaries_stereoBRUVs,NCB559,-20.35543,115.5017033,20141029,15:52:00,N.Montebello.Sanctuary,No-take,9,9,Katrina,Yes,Yes,NA,Yes
Pilbara Marine Conservation Partnership,2014-10_Montebello.sanctuaries_stereoBRUVs,NCB560,-20.34991167,115.500005,20141029,15:56:00,N.Montebello.Sanctuary,No-take,10,11.8,Katrina,Yes,Yes,NA,Yes
Pilbara Marine Conservation Partnership,2014-10_Montebello.sanctuaries_stereoBRUVs,NCB561,-20.34493667,115.500575,20141030,7:31:00,N.Montebello.Sanctuary,No-take,10,12.4,ET,Yes,Yes,NA,Yes
Pilbara Marine Conservation Partnership,2014-10_Montebello.sanctuaries_stereoBRUVs,NCB562,-20.34061833,115.50644,20141030,7:35:00,N.Montebello.Sanctuary,No-take,10,12.8,ET,Yes,Yes,NA,Yes
Pilbara Marine Conservation Partnership,2014-10_Montebello.sanctuaries_stereoBRUVs,NCB563,-20.34109667,115.5150517,20141030,7:39:00,N.Montebello.Sanctuary,No-take,11,11.7,ET,Yes,Yes,NA,Yes
Pilbara Marine Conservation Partnership,2014-10_Montebello.sanctuaries_stereoBRUVs,NCB564,-20.342325,115.52405,20141030,7:46:00,N.Montebello.Sanctuary,No-take,11,10.9,ET,Yes,Yes,NA,No
Pilbara Marine Conservation Partnership,2014-10_Montebello.sanctuaries_stereoBRUVs,NCB565,-20.345615,115.5346833,20141030,7:52:00,N.Montebello.Sanctuary,No-take,11,12.7,ET,Yes,Yes,NA,Yes
Pilbara Marine Conservation Partnership,2014-10_Montebello.sanctuaries_stereoBRUVs,NCB566,-20.35170167,115.5446517,20141030,7:56:00,N.Montebello.Sanctuary,No-take,11,9.1,ET,Yes,Yes,NA,Yes
Pilbara Marine Conservation Partnership,2014-10_Montebello.sanctuaries_stereoBRUVs,NCB567,-20.35786333,115.5522567,20141030,8:00:00,NE.Montebello,Fished,12,10.7,Matt,Yes,Yes,NA,Yes
Pilbara Marine Conservation Partnership,2014-10_Montebello.sanctuaries_stereoBRUVs,NCB568,-20.36466667,115.5617117,20141030,8:05:00,NE.Montebello,Fished,12,9.8,Katrina,Yes,Yes,NA,No
Pilbara Marine Conservation Partnership,2014-10_Montebello.sanctuaries_stereoBRUVs,NCB569,-20.37152,115.5689683,20141030,8:09:00,NE.Montebello,Fished,12,11.9,Matt,Yes,Yes,NA,Yes
Pilbara Marine Conservation Partnership,2014-10_Montebello.sanctuaries_stereoBRUVs,NCB570,-20.37763333,115.5736667,20141030,8:12:00,NE.Montebello,Fished,12,9.7,Katrina,Yes,Yes,NA,Yes
Pilbara Marine Conservation Partnership,2014-10_Montebello.sanctuaries_stereoBRUVs,NCB571,-20.381915,115.5774317,20141030,9:39:00,NE.Montebello,Fished,12,12.1,Matt,Yes,Yes,NA,Yes
Pilbara Marine Conservation Partnership,2014-10_Montebello.sanctuaries_stereoBRUVs,NCB572,-20.38769167,115.581155,20141030,9:44:00,NE.Montebello,Fished,13,11.9,Katrina,Yes,Yes,NA,Yes
Pilbara Marine Conservation Partnership,2014-10_Montebello.sanctuaries_stereoBRUVs,NCB573,-20.39332,115.584035,20141030,9:46:00,NE.Montebello,Fished,13,11.5,ET,Yes,Yes,NA,Yes
Pilbara Marine Conservation Partnership,2014-10_Montebello.sanctuaries_stereoBRUVs,NCB574,-20.39786,115.5876917,20141030,9:49:00,NE.Montebello,Fished,13,9.3,ET,Yes,Yes,NA,Yes
Pilbara Marine Conservation Partnership,2014-10_Montebello.sanctuaries_stereoBRUVs,NCB575,-20.40385167,115.5895183,20141030,9:51:00,NE.Montebello,Fished,13,9.7,ET,Yes,Yes,NA,Yes
Pilbara Marine Conservation Partnership,2014-10_Montebello.sanctuaries_stereoBRUVs,NCB576,-20.40757833,115.5935383,20141030,9:54:00,NE.Montebello,Fished,13,11.8,ET,Yes,No,NA,Yes
Pilbara Marine Conservation Partnership,2014-10_Montebello.sanctuaries_stereoBRUVs,NCB577,-20.41234333,115.5955617,20141030,9:56:00,NE.Montebello,Fished,14,11.1,ET,Yes,Yes,NA,Yes
Pilbara Marine Conservation Partnership,2014-10_Montebello.sanctuaries_stereoBRUVs,NCB578,-20.41755667,115.598655,20141030,10:00:00,NE.Montebello,Fished,14,8.7,Matt,Yes,Yes,NA,Yes
