Sample,fishnclips,Latitude,Longitude,Date,Time,Location,Status,Site,Depth,Observer,Successful.count,Successful.length,Comment
87,Yes,-33.4896,115.4589333,20141213,7:49:00,Geographe.Bay,Fished,NA,13,Lauren,Yes,Yes,NA
88,Yes,-33.5010667,115.2145333,20141209,9:45:00,Geographe.Bay,Fished,NA,31.4,Laura,Yes,Yes,NA
89,Yes,-33.3828167,115.0563833,20141210,6:58:00,Geographe.Bay,Fished,NA,43.9,Lauren,Yes,Yes,NA
90,Yes,-33.5333167,115.3224833,20141212,10:53:00,Geographe.Bay,Fished,NA,22,Laura,Yes,Yes,NA
91,Yes,-33.5396,115.2060833,20141209,6:54:00,Geographe.Bay,Fished,NA,29.8,Laura,Yes,Yes,NA
92,Yes,-33.4175833,115.3149833,20141211,6:43:00,Geographe.Bay,Fished,NA,33,Lauren,Yes,Yes,NA
93,Yes,-33.4813167,115.15275,20141209,12:59:00,Geographe.Bay,Fished,NA,36,Laura,Yes,Yes,NA
95,Yes,-33.5175,115.3155333,20141212,10:42:00,Geographe.Bay,Fished,NA,24.9,Lauren,Yes,Yes,NA
96,Yes,-33.4489,115.4808167,20141211,13:04:00,Geographe.Bay,Fished,NA,15.9,Lauren,Yes,Yes,NA
97,Yes,-33.38465,115.2926667,20141211,8:43:00,Geographe.Bay,Fished,NA,35.6,Lizzy,Yes,Yes,NA
98,Yes,-33.434,115.1726667,20141210,10:56:00,Geographe.Bay,Fished,NA,38,Lizzy,Yes,Yes,NA
99,Yes,-33.3953,115.3990167,20141214,6:59:00,Geographe.Bay,Fished,NA,15.4,Lauren,Yes,Yes,NA
100,Yes,-33.4324833,115.21415,20141210,11:14:00,Geographe.Bay,Fished,NA,36.7,Lauren,Yes,Yes,NA
101,Yes,-33.3885833,115.37675,20141214,6:47:00,Geographe.Bay,Fished,NA,16.7,Lizzy,Yes,Yes,NA
102,Yes,-33.5185,115.1196,20141209,12:39:00,Geographe.Bay,Fished,NA,34.4,Lizzy,Yes,Yes,NA
103,Yes,-33.4581167,115.4547167,20141211,13:12:00,Geographe.Bay,Fished,NA,18.4,Lauren,Yes,Yes,NA
104,Yes,-33.4597333,115.2450667,20141209,10:04:00,Geographe.Bay,Fished,NA,33.3,Lauren,Yes,Yes,NA
106,Yes,-33.57825,115.3451333,20141212,11:27:00,Geographe.Bay,Fished,NA,13.5,laura,Yes,Yes,NA
107,Yes,-33.5833333,115.1881167,20141215,8:56:00,Geographe.Bay,Fished,NA,20.9,Lizzy,Yes,Yes,NA
108,Yes,-33.4690833,115.1676667,20141209,13:09:00,Geographe.Bay,Fished,NA,35,Laura,Yes,Yes,NA
110,Yes,-33.4022667,115.3556833,20141214,6:37:00,Geographe.Bay,Fished,NA,17,Lauren,Yes,Yes,NA
111,Yes,-33.5369,115.3219167,20141212,10:55:00,Geographe.Bay,Fished,NA,21.9,Laura,Yes,Yes,NA
112,Yes,-33.4052,115.5224,20141211,12:35:00,Geographe.Bay,Fished,NA,14.8,Laura,Yes,Yes,NA
113,Yes,-33.3658333,115.27785,20141210,13:45:00,Geographe.Bay,Fished,NA,36.6,Laura,Yes,Yes,NA
114,Yes,-33.3984333,115.1639167,20141210,10:20:00,Geographe.Bay,Fished,NA,39.7,Lizzy,Yes,Yes,NA
115,Yes,-33.4446333,115.4064667,20141213,10:46:00,Geographe.Bay,Fished,NA,25.2,Laura,Yes,Yes,NA
116,Yes,-33.4981667,115.2863667,20141209,6:20:00,Geographe.Bay,Fished,NA,29.7,Laura,Yes,Yes,NA
119,Yes,-33.4388333,115.5567333,20141214,11:25:00,Geographe.Bay,Fished,NA,5.2,Lizzy,Yes,Yes,NA
122,Yes,-33.5375,115.4020833,20141213,5:48:00,Geographe.Bay,Fished,NA,13.3,Lauren,Yes,Yes,NA
135,Yes,-33.50185,115.4207333,20141216,12:54:00,Geographe.Bay,Fished,NA,15.8,Lauren,Yes,Yes,NA
138,Yes,-33.5808333,115.1139333,20141215,6:50:00,Geographe.Bay,Fished,NA,15,Lauren,Yes,Yes,NA
139,Yes,-33.60325,115.2736667,20141217,8:29:00,Geographe.Bay,Fished,NA,13.4,Lauren,Yes,Yes,NA
143,Yes,-33.5761667,115.2367,20141215,13:24:00,Geographe.Bay,Fished,NA,23.2,Lizzy,Yes,Yes,NA
144,Yes,-33.5342333,115.4323167,20141216,15:37:00,Geographe.Bay,Fished,NA,12.3,Lauren,Yes,Yes,NA
151,Yes,-33.4768,115.4328833,20141216,9:12:00,Geographe.Bay,Fished,NA,17.2,Lizzy,Yes,Yes,NA
154,Yes,-33.6033667,115.19675,20141215,10:58:00,Geographe.Bay,Fished,NA,13.6,Lauren,Yes,Yes,NA
160,Yes,-33.6033667,115.2477833,20141216,15:24:00,Geographe.Bay,Fished,NA,13.8,Lauren,Yes,Yes,NA
167,Yes,-33.4627333,115.4805667,20141216,9:25:00,Geographe.Bay,Fished,NA,14.4,Laura,Yes,Yes,NA
170,Yes,-33.54165,115.3698333,20141216,13:39:00,Geographe.Bay,Fished,NA,15.8,Lizzy,Yes,Yes,NA
175,Yes,-33.5518167,115.12275,20141215,6:34:00,Geographe.Bay,Fished,NA,28.5,Lizzy,Yes,Yes,NA
176,Yes,-33.59,115.1290667,20141215,6:59:00,Geographe.Bay,Fished,NA,15.4,Lizzy,Yes,Yes,NA
183,Yes,-33.5687667,115.2488,20141215,13:29:00,Geographe.Bay,Fished,NA,22.6,Lizzy,Yes,Yes,NA
192,Yes,-33.4273167,115.5755833,20141214,11:19:00,Geographe.Bay,Fished,NA,4.9,Lizzy,Yes,Yes,NA
196,Yes,-33.5098167,115.4045,20141216,12:49:00,Geographe.Bay,Fished,NA,15.9,Lauren,Yes,Yes,NA
199,Yes,-33.5975167,115.2108833,20141215,10:53:00,Geographe.Bay,Fished,NA,15.2,Lizzy,Yes,Yes,NA
202,Yes,-33.5779333,115.4117167,20141217,6:04:00,Geographe.Bay,Fished,NA,9.8,Lauren,Yes,Yes,NA
207,Yes,-33.5738333,115.23165,20141212,8:06:00,Geographe.Bay,Fished,NA,23.3,Lizzy,Yes,Yes,NA
208,Yes,-33.3873,115.5742333,20141214,11:03:00,Geographe.Bay,Fished,NA,7.2,Lizzy,Yes,Yes,NA
215,Yes,-33.6065667,115.2241167,20141215,10:45:00,Geographe.Bay,Fished,NA,14.1,Lizzy,Yes,Yes,NA
218,Yes,-33.5954833,115.3030667,20141217,9:46:00,Geographe.Bay,Fished,NA,14.7,Laura,Yes,Yes,NA
224,Yes,-33.4189,115.5035833,20141216,6:59:00,Geographe.Bay,Fished,NA,16.5,Lauren,Yes,Yes,NA
234,Yes,-33.6031667,115.3602167,20141217,10:03:00,Geographe.Bay,Fished,NA,9.3,Laura,Yes,Yes,NA
236,Yes,-33.4949167,115.4766833,20141216,10:45:00,Geographe.Bay,Fished,NA,13.1,Lauren,Yes,Yes,NA
240,Yes,-33.4387833,115.4684667,20141216,8:56:00,Geographe.Bay,Fished,NA,18.9,Lizzy,Yes,Yes,NA
247,Yes,-33.5561,115.1345167,20141215,6:30:00,Geographe.Bay,Fished,NA,26.4,Lizzy,Yes,Yes,NA
250,Yes,-33.5628167,115.4223667,20141216,15:17:00,Geographe.Bay,Fished,NA,10,Laura,Yes,Yes,NA
256,Yes,-33.4083167,115.4774833,20141214,13:12:00,Geographe.Bay,Fished,NA,11.1,Lizzy,Yes,Yes,NA
267,Yes,-33.5707,115.1362,20141215,6:22:00,Geographe.Bay,Fished,NA,23.2,Lizzy,Yes,Yes,NA
270,Yes,-33.52045,115.4206,20141213,6:00:00,Geographe.Bay,Fished,NA,13.7,Laura,Yes,Yes,NA
271,Yes,-33.5937,115.2133167,20141212,6:06:00,Geographe.Bay,Fished,NA,27.3,Laura,Yes,Yes,NA
272,Yes,-33.3815,115.4879333,20141214,8:37:00,Geographe.Bay,Fished,NA,11.7,Lizzy,Yes,Yes,NA
279,Yes,-33.5011833,115.4379167,20141216,11:32:00,Geographe.Bay,Fished,NA,14.2,Lizzy,Yes,Yes,NA
282,Yes,-33.5571833,115.3322333,20141217,8:02:00,Geographe.Bay,Fished,NA,18.2,Laura,Yes,Yes,NA
287,Yes,-33.5940333,115.2189,20141215,10:50:00,Geographe.Bay,Fished,NA,16.4,Lizzy,Yes,Yes,NA
288,Yes,-33.4709833,115.4775833,20141216,9:29:00,Geographe.Bay,Fished,NA,14.3,Laura,Yes,Yes,NA
295,Yes,-33.5555333,115.46605,20141216,15:50:00,Geographe.Bay,Fished,NA,2.5,Lauren,Yes,Yes,NA
298,Yes,-33.5825167,115.1301333,20141215,6:56:00,Geographe.Bay,Fished,NA,18.1,Lauren,Yes,Yes,NA
304,Yes,-33.5958333,115.1453667,20141215,10:17:00,Geographe.Bay,Fished,NA,13.7,Lizzy,Yes,Yes,NA
314,Yes,-33.5869,115.1628333,20141215,9:03:00,Geographe.Bay,Fished,NA,20,Lizzy,Yes,Yes,NA
316,Yes,-33.3839667,115.5281667,20141214,10:49:00,Geographe.Bay,Fished,NA,9.3,Lauren,Yes,Yes,NA
320,Yes,-33.4417833,115.49575,20141216,8:49:00,Geographe.Bay,Fished,NA,15.1,Lauren,Yes,Yes,NA
327,Yes,-33.4892333,115.3942,20141214,14:10:00,Geographe.Bay,Fished,NA,11.8,Damon,Yes,Yes,NA
330,Yes,-33.5691167,115.104,20141215,6:44:00,Geographe.Bay,Fished,NA,17.7,Damon,Yes,Yes,NA
331,Yes,-33.6030833,115.2530333,20141215,13:46:00,Geographe.Bay,Fished,NA,14.3,Lizzy,Yes,Yes,NA
335,Yes,-33.5771167,115.2266667,20141212,8:09:00,Geographe.Bay,Fished,NA,21.6,Lauren,Yes,Yes,NA
346,Yes,-33.6092,115.2392833,20141215,13:08:00,Geographe.Bay,Fished,NA,14,Lizzy,Yes,Yes,NA
352,Yes,-33.4517667,115.4879833,20141216,8:45:00,Geographe.Bay,Fished,NA,15.2,Lizzy,Yes,Yes,NA
362,Yes,-33.627,115.2948,20141217,10:23:00,Geographe.Bay,Fished,NA,9.4,Laura,Yes,Yes,NA
368,Yes,-33.5725167,115.45125,20141216,15:59:00,Geographe.Bay,Fished,NA,3.7,Laura,Yes,Yes,NA
375,Yes,-33.5902167,115.2205667,20141212,6:14:00,Geographe.Bay,Fished,NA,26.9,Laura,Yes,Yes,NA
378,Yes,-33.5555833,115.3912,20141212,13:08:00,Geographe.Bay,Fished,NA,13.3,Lauren,Yes,Yes,NA
384,Yes,-33.4274667,115.51415,20141216,6:54:00,Geographe.Bay,Fished,NA,13.5,Lauren,Yes,Yes,NA
391,Yes,-33.50165,115.4101333,20141213,8:23:00,Geographe.Bay,Fished,NA,17,Lizzy,Yes,Yes,NA
394,Yes,-33.5181,115.3820167,20141216,13:18:00,Geographe.Bay,Fished,NA,19,Lizzy,Yes,Yes,NA
395,Yes,-33.6072833,115.3444333,20141217,10:08:00,Geographe.Bay,Fished,NA,9.2,Laura,Yes,Yes,NA
399,Yes,-33.6143333,115.31295,20141217,10:17:00,Geographe.Bay,Fished,NA,10.8,Laura,Yes,Yes,NA
400,Yes,-33.3575833,115.5516833,20141214,8:58:00,Geographe.Bay,Fished,NA,9.8,Damon,Yes,Yes,NA
407,Yes,-33.4881667,115.4274667,20141213,8:13:00,Geographe.Bay,Fished,NA,16.2,Lauren,Yes,Yes,NA
416,Yes,-33.6147833,115.2806167,20141217,10:34:00,Geographe.Bay,Fished,NA,12.3,Laura,Yes,Yes,NA
428,Yes,-33.45045,115.5572167,20141216,6:31:00,Geographe.Bay,Fished,NA,7.6,Lauren,Yes,Yes,NA
432,Yes,-33.4270333,115.4686,20141214,13:19:00,Geographe.Bay,Fished,NA,10.7,Lauren,Yes,Yes,NA
439,Yes,-33.6309333,115.2730667,20141217,10:29:00,Geographe.Bay,Fished,NA,8.4,Laura,Yes,Yes,NA
442,Yes,-33.5066,115.41935,20141212,13:28:00,Geographe.Bay,Fished,NA,14.3,Lizzy,Yes,Yes,NA
443,Yes,-33.5698,115.2024833,20141212,6:34:00,Geographe.Bay,Fished,NA,27,Laura,Yes,Yes,NA
448,Yes,-33.3965,115.4930667,20141214,13:05:00,Geographe.Bay,Fished,NA,10.6,Lizzy,Yes,Yes,NA
451,Yes,-33.41975,115.5529,20141214,11:32:00,Geographe.Bay,Fished,NA,7.8,Lauren,Yes,Yes,NA
455,Yes,-33.5671333,115.1820333,20141215,8:42:00,Geographe.Bay,Fished,NA,24.9,Lizzy,Yes,Yes,NA
458,Yes,-33.51505,115.50435,20141216,10:58:00,Geographe.Bay,Fished,NA,6.2,Lizzy,Yes,Yes,NA
463,Yes,-33.51505,115.50435,20141212,8:03:00,Geographe.Bay,Fished,NA,24.3,Lizzy,Yes,Yes,NA
474,Yes,-33.4681167,115.5436,20141216,6:23:00,Geographe.Bay,Fished,NA,6.8,Laura,Yes,Yes,NA
480,Yes,-33.3475833,115.5777,20141214,9:06:00,Geographe.Bay,Fished,NA,7.4,Laura,Yes,Yes,NA
490,Yes,-33.5613,115.3612,20141217,6:20:00,Geographe.Bay,Fished,NA,13.4,Lizzy,Yes,Yes,NA
492,Yes,-33.4637833,115.4974833,20141216,8:40:00,Geographe.Bay,Fished,NA,14.7,Laura,Yes,Yes,NA
496,Yes,-33.4851167,115.4752333,20141216,10:42:00,Geographe.Bay,Fished,NA,15.3,Lauren,Yes,Yes,NA
499,Yes,-33.45165,115.5441167,20141216,6:36:00,Geographe.Bay,Fished,NA,9.9,Lauren,Yes,Yes,NA
503,Yes,-33.5845333,115.3097667,20141217,7:48:00,Geographe.Bay,Fished,NA,16.3,Lizzy,Yes,Yes,NA
506,Yes,-33.5173833,115.4165,20141216,11:23:00,Geographe.Bay,Fished,NA,14.1,Lizzy,Yes,Yes,NA
512,Yes,-33.5094,115.4873333,20141216,11:03:00,Geographe.Bay,Fished,NA,10.6,Lizzy,Yes,Yes,NA
